Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mmim,"(81.63, 0.0)","(81.55, 0.0)","(83.54, 0.0)","(83.52, 0.0)","(47.67, 0.0)","(42.27, 0.0)","(76.79, 0.0)","(76.28, 0.0)","(76.29, 0.0)"
mmim,"(82.22, 0.0)","(82.03, 0.0)","(84.6, 0.0)","(84.51, 0.0)","(52.62, 0.0)","(46.5, 0.0)","(70.42, 0.0)","(80.03, 0.0)","(69.91, 0.0)"
mmim,"(82.36, 0.0)","(82.06, 0.0)","(84.91, 0.0)","(84.72, 0.0)","(55.39, 0.0)","(47.96, 0.0)","(71.23, 0.0)","(77.6, 0.0)","(71.28, 0.0)"
mmim,"(82.94, 0.0)","(82.62, 0.0)","(85.37, 0.0)","(85.15, 0.0)","(50.87, 0.0)","(43.88, 0.0)","(72.13, 0.0)","(78.51, 0.0)","(72.48, 0.0)"
mmim,"(82.51, 0.0)","(82.26, 0.0)","(85.06, 0.0)","(84.92, 0.0)","(50.73, 0.0)","(44.02, 0.0)","(73.55, 0.0)","(77.03, 0.0)","(73.65, 0.0)"
mmim,"(80.9, 0.0)","(80.86, 0.0)","(82.47, 0.0)","(82.48, 0.0)","(49.42, 0.0)","(43.15, 0.0)","(76.93, 0.0)","(75.29, 0.0)","(76.14, 0.0)"
misa,"(81.92, 0.0)","(81.87, 0.0)","(83.54, 0.0)","(83.54, 0.0)","(48.25, 0.0)","(42.57, 0.0)","(77.31, 0.0)","(78.22, 0.0)","(104.19, 0.0)"
misa,"(81.63, 0.0)","(81.45, 0.0)","(83.84, 0.0)","(83.75, 0.0)","(49.13, 0.0)","(42.42, 0.0)","(74.63, 0.0)","(77.98, 0.0)","(100.78, 0.0)"
misa,"(80.9, 0.0)","(80.71, 0.0)","(83.23, 0.0)","(83.13, 0.0)","(51.31, 0.0)","(44.17, 0.0)","(72.62, 0.0)","(78.4, 0.0)","(98.19, 0.0)"
misa,"(82.36, 0.0)","(82.18, 0.0)","(84.76, 0.0)","(84.67, 0.0)","(47.52, 0.0)","(41.84, 0.0)","(75.67, 0.0)","(78.13, 0.0)","(99.38, 0.0)"
misa,"(80.17, 0.0)","(80.02, 0.0)","(82.16, 0.0)","(82.09, 0.0)","(51.31, 0.0)","(45.34, 0.0)","(72.78, 0.0)","(78.64, 0.0)","(97.33, 0.0)"
misa,"(82.94, 0.0)","(82.96, 0.0)","(84.6, 0.0)","(84.67, 0.0)","(45.48, 0.0)","(40.38, 0.0)","(79.22, 0.0)","(77.08, 0.0)","(111.66, 0.0)"
misa,"(81.92, 0.0)","(81.94, 0.0)","(83.69, 0.0)","(83.76, 0.0)","(47.08, 0.0)","(41.84, 0.0)","(78.09, 0.0)","(78.12, 0.0)","(111.86, 0.0)"
misa,"(81.92, 0.0)","(81.94, 0.0)","(83.69, 0.0)","(83.76, 0.0)","(47.08, 0.0)","(41.84, 0.0)","(78.09, 0.0)","(78.12, 0.0)","(111.86, 0.0)"
misa,"(80.17, 0.0)","(80.05, 0.0)","(82.32, 0.0)","(82.28, 0.0)","(48.83, 0.0)","(43.0, 0.0)","(76.59, 0.0)","(76.42, 0.0)","(106.96, 0.0)"
misa,"(81.73, 1.13)","(81.53, 1.08)","(84.15, 1.08)","(84.05, 1.02)","(48.4, 1.05)","(42.95, 0.99)","(74.55, 1.41)","(78.06, 0.65)","(101.0, 2.62)"
misa,"(81.78, 0.0)","(81.68, 0.0)","(83.99, 0.0)","(83.97, 0.0)","(53.21, 0.0)","(47.08, 0.0)","(72.08, 0.0)","(78.16, 0.0)","(102.39, 0.0)"
misa,"(81.78, 0.0)","(81.71, 0.0)","(83.54, 0.0)","(83.53, 0.0)","(47.67, 0.0)","(41.69, 0.0)","(76.15, 0.0)","(77.96, 0.0)","(105.23, 0.0)"
misa,"(81.39, 0.67)","(81.31, 0.72)","(83.13, 0.69)","(83.11, 0.71)","(47.86, 1.94)","(42.76, 1.61)","(77.08, 0.27)","(77.37, 1.16)","(107.38, 4.2)"
mmim,"(79.3, 0.0)","(79.33, 0.0)","(80.79, 0.0)","(80.89, 0.0)","(50.73, 0.0)","(44.9, 0.0)","(78.86, 0.0)","(74.39, 0.0)","(78.27, 0.0)"
